site_id,name,subregion,lat,lon,dev_ha,ownership,typology,dist_transit_km,elev_m,slope_pct,ndvi,ndbi,lst_anom_c,impervious_pct,flood_risk,enviro_sensitivity,contamination,bulk_infra,social_facility,land_value_r_m2,delivery_complexity,group_area_1950,redress_index,displacement_risk,zone,height_storeys,zoning_note,asofright_u_ha
S13,Ndabeni / Maitland,Northern Metro,-33.925,18.488,34.0,Mixed,Brownfield-Industrial,0.09,16,1.67,0.13,0.33,3.5,86,44,26,68,78,62,2600,60,"Ndabeni African location, cleared 1930s",80,24,GI1,0,General Industrial; rezoning to MU required,0
S14,Epping Market,Northern Metro,-33.933,18.535,28.0,City,Brownfield-Industrial,0.82,18,1.0,0.12,0.35,3.9,90,40,20,64,76,51,1900,56,Industrial reserve,74,12,GI1,0,General Industrial; market relocation then rezoning,0
S15,Athlone Power Station,Cape Flats,-33.96,18.517,45.0,City,Brownfield-Industrial,1.44,11,2.33,0.16,0.3,3.1,72,52,30,82,74,77,1300,66,Declared Coloured,52,28,GI2,0,Utility/industrial; rezoning plus remediation,0
S16,Bellville CBD,Northern Metro,-33.899,18.63,18.0,Mixed,Brownfield-Infill,0.87,80,0.67,0.14,0.32,3.3,84,22,16,34,82,74,3100,48,Declared White,84,34,GB5,12,Voortrekker Road corridor; height incentive zone,260
S17,Parow / Elsies River,Northern Metro,-33.909,18.585,26.0,Mixed,Corridor-Infill,0.13,39,0.67,0.17,0.29,3.0,78,36,18,40,78,65,2200,50,Coloured (Elsies River) / White (Parow),66,36,GB2,6,Corridor business/GR4 mix,135
S18,Delft Symphony,Cape Flats,-33.976,18.647,58.0,City,Greenfield-Periphery,4.56,37,0.67,0.19,0.26,2.8,62,66,32,20,58,79,900,44,Post-1990 resettlement area,20,22,GR1,3,General Residential 1; densification needs departure,60
S19,Philippi East,Cape Flats,-34.011,18.57,52.0,Mixed,Greenfield-Contested,1.44,29,1.0,0.31,0.2,2.3,44,78,76,26,54,57,750,84,"African informal settlement, post-1980s",22,44,AG,0,"Agricultural; PHA policy conflict, rezoning contested",0
S20,Macassar,Helderberg,-34.064,18.746,66.0,City,Greenfield-Periphery,3.55,12,1.33,0.28,0.19,1.8,40,58,62,34,56,28,700,54,Declared Coloured,18,16,SR1,2,Single Residential; rezoning for anything denser,40
S21,Kuyasa / Khayelitsha,Cape Flats,-34.035,18.669,30.0,City,Infill-Upgrading,1.04,23,1.67,0.13,0.28,3.0,58,74,28,22,60,96,650,58,"Khayelitsha, founded 1983 for African relocation",24,30,GR1,3,General Residential 1; upgrading context,60
S22,Dido Valley,South Peninsula,-34.178,18.425,10.0,National,Greenfield-Constrained,0.98,33,23.0,0.42,0.11,0.4,26,18,72,16,62,17,2400,70,Luyolo & Simon's Town removals; restitution site,78,10,SR1,2,Single Residential + Simons Town scenic/heritage overlay,40
S23,Imizamo Yethu,South Peninsula,-34.027,18.362,8.0,City,Infill-Upgrading,9.72,64,10.0,0.38,0.16,0.6,54,30,68,18,52,58,3200,82,Post-1990 African settlement in former White Hout Bay,70,34,GR1,3,General Residential 1; slope constrains built form,60
S24,Sir Lowrys Road,Inner City,-33.927,18.44,2.8,City,Infill,0.6,8,6.0,0.1,0.33,3.4,88,24,14,32,86,92,8900,62,Declared White; Coloured residents removed,88,70,MU2,10,Mixed Use 2; Foreshore-Woodstock interface,220
S25,Sir Lowrys Pass Village,Helderberg,-34.077,18.893,24.0,Mixed,Greenfield-Periphery,4.19,87,0.67,0.34,0.17,1.4,36,70,58,14,50,0,620,52,Declared Coloured,16,14,SR1,2,Single Residential; village edge,40
S26,Highlands Drive Mitchells Plain,Cape Flats,-34.041,18.62,40.0,City,Greenfield-Infill,0.95,29,2.67,0.21,0.25,2.7,56,64,36,18,62,87,880,42,"Mitchells Plain, built 1970s for the removed",26,18,GR1,4,General Residential 1,85
S27,Blue Downs / Kleinvlei,Cape Flats,-34.0,18.69,48.0,City,Corridor-Greenfield,3.05,50,2.0,0.23,0.24,2.5,52,60,40,20,60,55,820,40,"Coloured / African resettlement, 1980s",24,16,GR1,3,General Residential 1,60
S28,Atlantis Wesfleur,Blaauwberg,-33.568,18.49,90.0,City,Greenfield-Periphery,4.6,176,0.67,0.26,0.21,1.6,38,42,54,30,64,66,380,34,"Atlantis, built 1976 as a Coloured growth point",10,12,GR1,3,Atlantis growth point; industrial-zoned balance,60
S29,Wallacedene / Kraaifontein,Northern Metro,-33.846,18.718,36.0,City,Corridor-Greenfield,0.57,101,0.33,0.22,0.25,2.6,54,68,34,18,62,60,780,44,African / Coloured informal + RDP,22,20,SR2,3,Single Residential 2,60
S30,Phoenix / Milnerton,Blaauwberg,-33.872,18.517,20.0,City,Infill,1.59,17,1.0,0.2,0.27,2.4,64,56,44,26,70,50,1600,46,"Phoenix, Coloured resettlement area",58,26,GR2,5,General Residential 2,110
